PF10417.8 C-terminal_domain_of_1-Cys_peroxiredoxin
PF13382.5 Adenine_deaminase_C-terminal_domain
PF03352.12 Methyladenine_glycosylase
PF04008.13 Adenosine_specific_kinase
PF02438.15 Late_100kD_protein
PF03052.14 Adenoviral_protein_L1_52/55-kDa
PF02703.13 Early_E1A_protein
PF01691.15 Adenovirus_E1B_19K_protein_/_small_t-antigen
PF01696.16 Adenovirus_EB1_55K_protein_/_large_t-antigen
PF04623.11 Adenovirus_E1B_protein_N-terminus
PF06040.10 Adenovirus_E3_protein
PF05248.11 Adenovirus_E3A
PF03376.13 Adenovirus_E3B_protein
PF04834.11 Early_E3_14.5_kDa_protein
PF03307.13 Adenovirus_15.3kD_protein_in_E3_region
PF02440.14 Adenovirus_E3_region_protein_CR1
PF02439.14 Adenovirus_E3_region_protein_CR2
PF05385.10 Mastadenovirus_early_E4_13_kDa_protein
PF04528.12 Adenovirus_early_E4_34_kDa_protein_conserved_region
PF06931.10 Mastadenovirus_E4_ORF3_protein
PF04881.12 Adenovirus_GP19K
PF01065.18 Hexon,adenovirus_major_coat_protein,N-terminal_domain
PF03678.13 Hexon,adenovirus_major_coat_protein,C-terminal_domain
PF02456.14 Adenovirus_IVa2_protein
PF00541.16 Adenoviral_fibre_protein_(knob_domain)
PF01686.16 Adenovirus_penton_base_protein
PF03955.13 Adenovirus_hexon-associated_protein_(IX)
PF03910.12 Adenovirus_minor_core_protein_PV
PF01310.17 Adenovirus_hexon_associated_protein,protein_VIII
PF05829.11 Adenovirus_late_L2_mu_core_protein_(Protein_X)
PF00608.16 Adenoviral_fibre_protein_(repeat/shaft_region)
PF02459.14 Adenoviral_DNA_terminal_protein
PF03228.13 Adenoviral_core_protein_VII
PF16579.4 Adenylate_sensor_of_SNF1-like_protein_kinase
PF01295.17 Adenylate_cyclase,class-I
PF00709.20 Adenylosuccinate_synthetase
PF12633.6 Adenylate_cyclase_NT_domain
PF04439.11 Streptomycin_adenylyltransferase
PF16812.4 C-terminal_head_domain_of_the_fowl_adenovirus_type_1_long_fibre
PF09085.9 Adhesion_molecule,immunoglobulin-like
PF04619.11 Dr-family_adhesin
PF16747.4 Surface-adhesin_protein_E
PF03257.12 Mycoplasma_adhesin_P1
PF08240.11 Alcohol_dehydrogenase_GroES-like_domain
PF16884.4 N-terminal_domain_of_oxidoreductase
PF13823.5 Alcohol_dehydrogenase_GroES-associated
PF00106.24 short_chain_dehydrogenase
PF13561.5 Enoyl-(Acyl_carrier_protein)_reductase
PF00107.25 Zinc-binding_dehydrogenase
PF13602.5 Zinc-binding_dehydrogenase
PF11559.7 Afadin-_and_alpha_-actinin-Binding
PF15202.5 Adipogenin
PF06377.10 Adipokinetic_hormone
PF00406.21 Adenylate_kinase
PF05191.13 Adenylate_kinase,active_site_lid
PF05221.16 S-adenosyl-L-homocysteine_hydrolase
PF00670.20 S-adenosyl-L-homocysteine_hydrolase,NAD_binding_domain
PF08132.10 S-adenosyl-l-methionine_decarboxylase_leader_peptide
PF02675.14 S-adenosylmethionine_decarboxylase
PF07757.12 Predicted_AdoMet-dependent_methyltransferase
PF01941.18 S-adenosylmethionine_synthetase_(AdoMet_synthetase)
PF03496.13 ADP-ribosyltransferase_exoenzyme
PF04587.14 ADP-specific_Phosphofructokinase/Glucokinase_conserved_region
PF03747.13 ADP-ribosylglycohydrolase
PF10397.8 Adenylosuccinate_lyase_C-terminus
PF08509.10 Adenylate_cyclase_G-alpha_binding_domain
PF16701.4 Adenylate_cyclase_regulatory_domain
PF06355.12 Aegerolysin
PF17049.4 ATPase_expression_protein_1
PF01117.19 Aerolysin_toxin
PF05110.12 AF-4_proto-oncoprotein
PF14591.5 AF0941-like
PF14556.5 AF2331-like
PF05775.11 Enterobacteria_AfaD_invasin_protein
PF15339.5 Acrosome_formation-associated_factor
PF03969.15 AFG1-like_ATPase
PF07792.11 Docking_domain_of_Afi1_for_Arf3_in_vesicle_trafficking
PF08493.9 Aflatoxin_regulatory_protein
PF01314.17 Aldehyde_ferredoxin_oxidoreductase,domains_2_&_3
PF02730.14 Aldehyde_ferredoxin_oxidoreductase,N-terminal_domain
PF02420.14 Insect_antifreeze_protein_repeat
PF03756.12 A-factor_biosynthesis_hotdog_domain
PF08731.10 Transcription_factor_AFT
PF11786.7 Aft1_HRA_domain
PF11787.7 Aft1_HRR_domain
PF11785.7 Aft1_osmotic_stress_response_(OSM)_domain
PF12249.7 Arabinofuranosyltransferase_A_C_terminal
PF12250.7 Arabinofuranosyltransferase_N_terminal
PF04671.11 Erythrocyte_membrane-associated_giant_protein_antigen_332
PF17366.1 A-agglutinin-binding_subunit_Aga2
PF05641.11 Agenet_domain
PF07468.10 Agglutinin_domain
PF17558.1 Androgenic_gland_hormone
PF09171.9 N-glycosylase/DNA_lyase
PF05039.11 Agouti_protein
PF10427.8 Argonaute_hook
PF06376.11 Arabinogalactan_peptide
PF04647.14 Accessory_gene_regulator_B
PF05931.10 Staphylococcal_AgrD_protein
PF04730.11 Agrobacterium_VirD5_protein
PF11440.7 DNA_alpha-glucosyltransferase
PF06396.10 Angiotensin_II,type_I_receptor-associated_protein_(AGTRAP)
PF09229.10 Activator_of_Hsp90_ATPase,N-terminal
PF14412.5 A_nuclease_family_of_the_HNH/ENDO_VII_superfamily_with_conserved_AHH
PF17327.1 Acyl_homoserine_lactone_synthase
PF00578.20 AhpC/TSA_family
PF13911.5 AhpC/TSA_antioxidant_enzyme
PF08327.10 Activator_of_Hsp90_ATPase_homolog_1-like_protein
PF09236.9 Alpha-haemoglobin_stabilising_protein
PF01594.15 AI-2E_family_transporter
PF15334.5 Aurora_kinase_A_and_ninein_interacting_protein
PF01808.17 AICARFT/IMPCHase_bienzyme
PF16168.4 Adhesin_of_bacterial_autotransporter_system,probable_stalk
PF14186.5 Cytoskeletal_adhesion
PF08910.9 Aida_N-terminus
PF14962.5 Mitochondria_Localisation_Sequence
PF14721.5 Apoptosis-inducing_factor,mitochondrion-associated,C-term
PF04548.15 AIG1_family
PF13772.5 AIG2-like_family
PF06316.10 Enterobacterial_Ail/Lom_protein
PF10315.8 Altered_inheritance_of_mitochondria_protein_19
PF11489.7 Altered_inheritance_of_mitochondria_protein_21
PF01987.16 Mitochondrial_biogenesis_AIM24
PF17096.4 Altered_inheritance_of_mitochondria_protein_3
PF17050.4 Altered_inheritance_of_mitochondria_5
PF16780.4 AIMP2_lysyl-tRNA_synthetase_binding_domain
PF03915.12 Actin_interacting_protein_3
PF10592.8 AIPR_protein
PF00731.19 AIR_carboxylase
PF00586.23 AIR_synthase_related_protein,N-terminal_domain
PF02769.21 AIR_synthase_related_protein,C-terminal_domain
PF15298.5 AJAP1/PANP_C-terminus
PF14469.5 28_kDa_A-kinase_anchor
PF15304.5 A-kinase_anchor_protein_2_C-terminus
PF10469.8 AKAP7_2'5'_RNA_ligase-like_domain
PF10470.8 PKA-RI-RII_subunit_binding_domain_of_A-kinase_anchor_protein
PF04988.11 A-kinase_anchoring_protein_95_(AKAP95)
PF05716.12 A-kinase_anchor_protein_110_kDa_(AKAP_110)
PF12443.7 AT-hook-containing_transcription_factor
PF00490.20 Delta-aminolevulinic_acid_dehydratase
PF01262.20 Alanine_dehydrogenase/PNT,C-terminal_domain
PF05222.14 Alanine_dehydrogenase/PNT,N-terminal_domain
PF06610.12 L-alanine_exporter
PF11839.7 Alanine-zipper,major_outer_membrane_lipoprotein
PF00842.20 Alanine_racemase,C-terminal_domain
PF01168.19 Alanine_racemase,N-terminal_domain
PF09135.10 Alb1
PF01918.20 Alba
PF04326.13 Putative_DNA-binding_domain
PF08027.10 Albumin_I_chain_b
PF16720.4 Albumin_I_chain_a
PF11606.7 Family_31_carbohydrate_binding_protein
PF00171.21 Aldehyde_dehydrogenase_family
PF01081.18 KDPG_and_KHG_aldolase
PF00596.20 Class_II_Aldolase_and_Adducin_N-terminal_domain
PF01263.19 Aldose_1-epimerase
PF00248.20 Aldo/keto_reductase_family
PF11266.7 Long-chain_fatty_aldehyde_decarbonylase
PF01315.21 Aldehyde_oxidase_and_xanthine_dehydrogenase,a/b_hammerhead_domain
PF02738.17 Molybdopterin-binding_domain_of_aldehyde_dehydrogenase
PF03752.12 Short_repeats_of_unknown_function
PF12165.7 Alfin
PF15924.4 ALG11_mannosyltransferase_N-terminus
PF08660.10 Oligosaccharide_biosynthesis_protein_Alg14_like
PF05208.12 ALG3_protein
PF03155.14 ALG6,ALG8_glycosyltransferase_family
PF11182.7 Alginate_O-acetyl_transferase_AlgF
PF13372.5 Alginate_export
PF05426.11 Alginate_lyase
PF08787.10 Alginate_lyase
PF16822.4 SGNH_hydrolase-like_domain,acetyltransferase_AlgX
PF13949.5 ALIX_V-shaped_domain_binding_to_HIV
PF06029.10 AlkA_N-terminal_domain
PF14864.5 Alkyl_sulfatase_C-terminal
PF14863.5 Alkyl_sulfatase_dimerisation
PF00245.19 Alkaline_phosphatase
PF03561.14 Allantoicase_repeat
PF05953.11 Allatostatin
PF06351.10 Allene_oxide_cyclase
PF05549.10 Allexivirus_40kDa_protein
PF04864.12 Allinase
PF15309.5 ALMS_motif
PF11744.7 Aluminium_activated_malate_transporter
PF04030.13 D-arabinono-1,4-lactone_oxidase
PF17527.1 Phage_ALP_protein
PF06401.10 Alpha-2-macroglobulin_RAP,C-terminal_domain
PF06400.10 Alpha-2-macroglobulin_RAP,N-terminal_domain
PF00128.23 Alpha_amylase,catalytic_domain
PF02806.17 Alpha_amylase,C-terminal_all-beta_domain
PF02903.13 Alpha_amylase,N-terminal_ig-like_domain
PF09071.9 Alpha-amylase,C_terminal
PF07821.11 Alpha-amylase_C-terminal_beta-sheet_domain
PF04168.11 A_predicted_alpha-helical_domain_with_a_conserved_ER_motif.
PF14456.5 Alpha-helical_domain_2
PF06964.11 Alpha-L-arabinofuranosidase_C-terminal_domain
PF09261.10 Alpha_mannosidase_middle_domain
PF17480.1 Alpha_C_protein_C_terminal
PF08829.9 Alpha_C_protein_N_terminal
PF02883.19 Adaptin_C-terminal_domain
PF02296.15 Alpha_adaptin_AP2,C-terminal_domain
PF01589.15 Alphavirus_E1_glycoprotein
PF00943.18 Alphavirus_E2_glycoprotein
PF01563.15 Alphavirus_E3_glycoprotein
PF03229.12 Alphavirus_glycoprotein_J
PF02816.17 Alpha-kinase_family
PF01120.16 Alpha-L-fucosidase
PF02232.14 Alpha_trans-inducing_protein_(Alpha-TIF)
PF09608.9 Putative_transmembrane_protein_(Alph_Pro_TM)
PF15729.4 Amyotrophic_lateral_sclerosis_2_candidate_11
PF15299.5 Amyotrophic_lateral_sclerosis_2_chromosomal_region_candidate_gene_8
PF10369.8 Small_subunit_of_acetolactate_synthase
PF16541.4 Alternaria_alternata_allergen_1
PF11092.7 Neuronal_protein_3.1_(p311)
PF02430.14 Apical_membrane_antigen_1
PF07344.10 Amastin_surface_glycoprotein
PF03913.12 Amb_V_Allergen
PF12475.7 Amdovirus_non-structural_protein
PF05111.11 Ameloblastin_precursor_(Amelin)
PF02948.14 Amelogenin
PF15757.4 Amelotin
PF12190.7 Fungal_protease_inhibitor
PF04709.11 Anti-Mullerian_hormone,N_terminal_region
PF01425.20 Amidase
PF12123.7 N-acetylmuramoyl-l-alanine_amidase
PF01510.24 N-acetylmuramoyl-L-alanine_amidase
PF01520.17 N-acetylmuramoyl-L-alanine_amidase
PF05382.12 Bacteriophage_peptidoglycan_hydrolase
PF12671.6 Putative_amidase_domain
PF02274.16 Amidinotransferase
PF01979.19 Amidohydrolase_family
PF04909.13 Amidohydrolase
PF07969.10 Amidohydrolase_family
PF12224.7 Putative_amidoligase_enzyme
PF09663.9 Amidohydrolase_ring-opening_protein_(Amido_AtzD_TrzD)
PF11741.7 AMIN_domain
PF10706.8 Aminoglycoside-2''-adenylyltransferase
PF10023.8 Putative_aminopeptidase
PF00155.20 Aminotransferase_class_I_and_II
PF00202.20 Aminotransferase_class-III
PF01063.18 Amino-transferase_class_IV
PF00266.18 Aminotransferase_class-V
PF12897.6 Alanine-glyoxylate_amino-transferase
PF01593.23 Flavin_containing_amine_oxidoreductase
PF02293.14 AmiS/UreI_family_transporter
PF10997.7 Alternate_to_MurJ
PF01871.16 AMMECR1
PF00909.20 Ammonium_Transporter_Family
PF14828.5 Amnionless
PF10423.8 Bacterial_AMP_nucleoside_phosphorylase_N-terminus
PF02461.15 Ammonia_monooxygenase
