Accession	Name	Function	Isology Type	EC Number
TIGR00122	birA_repr_reg	biotin operon repressor	equivalog_domain	
TIGR00123	cbiM	cobalamin biosynthesis protein CbiM	equivalog	
TIGR00124	cit_ly_ligase	[citrate (pro-3S)-lyase] ligase	equivalog	6.2.1.22
TIGR00125	cyt_tran_rel	cytidyltransferase-like domain	domain	
TIGR00126	deoC	deoxyribose-phosphate aldolase	equivalog	4.1.2.4
TIGR00127	nadp_idh_euk	isocitrate dehydrogenase, NADP-dependent	equivalog	1.1.1.42
TIGR00128	fabD	malonyl CoA-acyl carrier protein transacylase	equivalog	2.3.1.39
TIGR00129	fdhD_narQ	formate dehydrogenase family accessory protein FdhD	equivalog	
TIGR00130	frhD	coenzyme F420-reducing hydrogenase, FrhD protein	equivalog	
TIGR00131	gal_kin	galactokinase	equivalog	2.7.1.6
TIGR00132	gatA	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit	equivalog	6.3.5.-
TIGR00133	gatB	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit	equivalog	6.3.5.-
TIGR00134	gatE_arch	glutamyl-tRNA(Gln) amidotransferase, subunit E	equivalog	6.3.5.-
TIGR00135	gatC	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit	equivalog	6.3.5.-
TIGR00136	gidA	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	equivalog	
TIGR00137	gid_trmFO	tRNA:m(5)U-54 methyltransferase	equivalog	2.1.1.74
TIGR00138	rsmG_gidB	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	equivalog	2.1.1.170
TIGR00139	h_aconitase	homoaconitase	equivalog	4.2.1.36
TIGR00140	hupD	hydrogenase expression/formation protein	equivalog	3.4.23.-
TIGR00142	hycI	hydrogenase maturation peptidase HycI	equivalog	3.4.23.-
TIGR00143	hypF	carbamoyltransferase HypF	equivalog	
TIGR00144	beta_RFAP_syn	beta-ribofuranosylaminobenzene 5'-phosphate synthase family	subfamily	
TIGR00145	TIGR00145	FTR1 family protein	subfamily	
TIGR00147	TIGR00147	lipid kinase, YegS/Rv2252/BmrU family	subfamily	2.7.1.-
TIGR00148	TIGR00148	decarboxylase, UbiD family	subfamily	4.1.1.-
TIGR00149	TIGR00149_YjbQ	secondary thiamine-phosphate synthase enzyme	hypoth_equivalog	
TIGR00150	T6A_YjeE	tRNA threonylcarbamoyl adenosine modification protein YjeE	equivalog	
TIGR00151	ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	equivalog_domain	4.6.1.12
TIGR00152	TIGR00152	dephospho-CoA kinase	equivalog	2.7.1.24
TIGR00153	TIGR00153	TIGR00153 family protein	hypoth_equivalog	
TIGR00154	ispE	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	equivalog	2.7.1.148
TIGR00155	pqiA_fam	integral membrane protein, PqiA family	subfamily	
TIGR00156	TIGR00156	TIGR00156 family protein	hypoth_equivalog	
TIGR00157	TIGR00157	ribosome small subunit-dependent GTPase A	equivalog	3.6.-.-
TIGR00158	L9	ribosomal protein bL9	equivalog	
TIGR00159	TIGR00159	TIGR00159 family protein	hypoth_equivalog	
TIGR00160	MGSA	methylglyoxal synthase	equivalog	4.2.3.3
TIGR00161	TIGR00161	TIGR00161 family protein	hypoth_equivalog	
TIGR00162	TIGR00162	TIGR00162 family protein	hypoth_equivalog	
TIGR00163	PS_decarb	phosphatidylserine decarboxylase	equivalog	4.1.1.65
TIGR00164	PS_decarb_rel	phosphatidylserine decarboxylase homolog	hypoth_equivalog	
TIGR00165	S18	ribosomal protein bS18	equivalog	
TIGR00166	S6	ribosomal protein bS6	equivalog	
TIGR00167	cbbA	ketose-bisphosphate aldolase	subfamily	
TIGR00168	infC	translation initiation factor IF-3	equivalog	
TIGR00169	leuB	3-isopropylmalate dehydrogenase	equivalog	1.1.1.85
TIGR00170	leuC	3-isopropylmalate dehydratase, large subunit	equivalog_domain	4.2.1.33
TIGR00171	leuD	3-isopropylmalate dehydratase, small subunit	equivalog_domain	4.2.1.33
TIGR00172	maf	septum formation protein Maf	equivalog	
TIGR00173	menD	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase	equivalog	2.2.1.9
TIGR00174	miaA	tRNA dimethylallyltransferase	equivalog	2.5.1.75
TIGR00175	mito_nad_idh	isocitrate dehydrogenase, NAD-dependent	equivalog	1.1.1.41
TIGR00176	mobB	molybdopterin-guanine dinucleotide biosynthesis protein B	equivalog	
TIGR00177	molyb_syn	molybdenum cofactor synthesis domain	domain	
TIGR00178	monomer_idh	isocitrate dehydrogenase, NADP-dependent	equivalog	1.1.1.42
TIGR00179	murB	UDP-N-acetylenolpyruvoylglucosamine reductase	equivalog	1.3.1.98
TIGR00180	parB_part	ParB/RepB/Spo0J family partition protein	domain	
TIGR00181	pepF	oligoendopeptidase F	equivalog	3.4.24.-
TIGR00182	plsX	fatty acid/phospholipid synthesis protein PlsX	equivalog	
TIGR00183	prok_nadp_idh	isocitrate dehydrogenase, NADP-dependent	equivalog	1.1.1.42
TIGR00184	purA	adenylosuccinate synthase	equivalog	6.3.4.4
TIGR00185	tRNA_yibK_trmL	tRNA (cytidine(34)-2'-O)-methyltransferase	equivalog	2.1.1.207
TIGR00186	rRNA_methyl_3	RNA methyltransferase, TrmH family, group 3	hypoth_equivalog	
TIGR00187	ribE	riboflavin synthase, alpha subunit	equivalog	2.5.1.9
TIGR00188	rnpA	ribonuclease P protein component	equivalog	3.1.26.5
TIGR00189	tesB	acyl-CoA thioesterase II	equivalog	3.1.2.-
TIGR00190	thiC	phosphomethylpyrimidine synthase	equivalog	4.1.99.17
TIGR00191	thrB	homoserine kinase	equivalog	2.7.1.39
TIGR00192	urease_beta	urease, beta subunit	equivalog_domain	3.5.1.5
TIGR00193	urease_gam	urease, gamma subunit	equivalog_domain	3.5.1.5
TIGR00194	uvrC	excinuclease ABC subunit C	equivalog	3.1.25.-
TIGR00195	exoDNase_III	exodeoxyribonuclease III	equivalog	3.1.11.2
TIGR00196	yjeF_cterm	YjeF family C-terminal domain	hypoth_equivalog_domain	
TIGR00197	yjeF_nterm	YjeF family N-terminal domain	hypoth_equivalog_domain	
TIGR00198	cat_per_HPI	catalase/peroxidase HPI	equivalog	1.11.1.6
TIGR00199	PncC_domain	amidohydrolase, PncC family	subfamily_domain	3.5.-.-
TIGR00200	cinA_nterm	competence/damage-inducible protein CinA N-terminal domain	domain	
TIGR00201	comF	comF family protein	subfamily	
TIGR00202	csrA	carbon storage regulator	equivalog	
TIGR00203	cydB	cytochrome d ubiquinol oxidase, subunit II	equivalog	1.10.3.-
TIGR00204	dxs	1-deoxy-D-xylulose-5-phosphate synthase	equivalog	2.2.1.7
TIGR00205	fliE	flagellar hook-basal body complex protein FliE	equivalog	
TIGR00206	fliF	flagellar M-ring protein FliF	equivalog	
TIGR00207	fliG	flagellar motor switch protein FliG	equivalog	
TIGR00208	fliS	flagellar protein FliS	equivalog	
TIGR00209	galT_1	galactose-1-phosphate uridylyltransferase	equivalog	2.7.7.10
TIGR00210	gltS	sodium/glutamate symporter	equivalog	
TIGR00211	glyS	glycine--tRNA ligase, beta subunit	equivalog_domain	6.1.1.14
TIGR00212	hemC	hydroxymethylbilane synthase	equivalog	2.5.1.61
TIGR00213	GmhB_yaeD	D,D-heptose 1,7-bisphosphate phosphatase	subfamily	
TIGR00214	lipB	lipoyl(octanoyl) transferase	equivalog	2.3.1.181
TIGR00215	lpxB	lipid-A-disaccharide synthase	equivalog	2.4.1.182
TIGR00216	ispH_lytB	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	equivalog	1.17.1.2
TIGR00217	malQ	4-alpha-glucanotransferase	equivalog	2.4.1.25
TIGR00218	manA	mannose-6-phosphate isomerase, class I	equivalog	5.3.1.8
TIGR00219	mreC	rod shape-determining protein MreC	equivalog	
TIGR00220	mscL	large conductance mechanosensitive channel protein	equivalog	
TIGR00221	nagA	N-acetylglucosamine-6-phosphate deacetylase	equivalog	3.5.1.25
TIGR00222	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	equivalog	2.1.2.11
TIGR00223	panD	aspartate 1-decarboxylase	equivalog	4.1.1.11
TIGR00224	pckA	phosphoenolpyruvate carboxykinase (ATP)	equivalog	4.1.1.49
TIGR00225	prc	C-terminal processing peptidase	subfamily	3.4.21.-
TIGR00227	ribD_Cterm	riboflavin-specific deaminase C-terminal domain	domain	3.5.4.-
TIGR00228	ruvC	crossover junction endodeoxyribonuclease RuvC	equivalog	3.1.22.4
TIGR00229	sensory_box	PAS domain S-box protein	domain	
TIGR00230	sfsA	sugar fermentation stimulation protein	equivalog	
TIGR00231	small_GTP	small GTP-binding protein domain	domain	
TIGR00232	tktlase_bact	transketolase	equivalog	2.2.1.1
TIGR00233	trpS	tryptophan--tRNA ligase	equivalog	6.1.1.2
TIGR00234	tyrS	tyrosine--tRNA ligase	equivalog	6.1.1.1
TIGR00235	udk	uridine kinase	equivalog	2.7.1.48
TIGR00236	wecB	UDP-N-acetylglucosamine 2-epimerase	equivalog	5.1.3.14
TIGR00237	xseA	exodeoxyribonuclease VII, large subunit	equivalog	3.1.11.6
TIGR00238	TIGR00238	KamA family protein	subfamily	
TIGR00239	2oxo_dh_E1	oxoglutarate dehydrogenase (succinyl-transferring), E1 component	equivalog	1.2.4.2
TIGR00240	ATCase_reg	aspartate carbamoyltransferase, regulatory subunit	equivalog	2.1.3.2
TIGR00241	CoA_E_activ	putative CoA-substrate-specific enzyme activase	domain	
TIGR00242	TIGR00242	division/cell wall cluster transcriptional repressor MraZ	equivalog	
TIGR00243	Dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	equivalog	1.1.1.267
TIGR00244	TIGR00244	transcriptional regulator NrdR	equivalog	
TIGR00245	TIGR00245	TIGR00245 family protein	hypoth_equivalog	
TIGR00246	tRNA_RlmH_YbeA	rRNA large subunit m3Psi methyltransferase RlmH	equivalog	2.1.1.177
TIGR00247	TIGR00247	conserved hypothetical protein, YceG family	hypoth_equivalog	
TIGR00249	sixA	phosphohistidine phosphatase SixA	equivalog	3.1.3.-
TIGR00250	RNAse_H_YqgF	putative transcription antitermination factor YqgF	hypoth_equivalog	
TIGR00251	TIGR00251	TIGR00251 family protein	hypoth_equivalog	
TIGR00252	TIGR00252	TIGR00252 family protein	hypoth_equivalog	
TIGR00253	RNA_bind_YhbY	putative RNA-binding protein, YhbY family	hypoth_equivalog	
TIGR00254	GGDEF	diguanylate cyclase (GGDEF) domain	domain	
TIGR00255	TIGR00255	TIGR00255 family protein	hypoth_equivalog	
TIGR00256	TIGR00256	D-tyrosyl-tRNA(Tyr) deacylase	equivalog	3.6.1.-
TIGR00257	IMPACT_YIGZ	uncharacterized protein, YigZ family	hypoth_equivalog	
TIGR00258	TIGR00258	inosine/xanthosine triphosphatase	hypoth_equivalog	
TIGR00259	thylakoid_BtpA	membrane complex biogenesis protein, BtpA family	subfamily	
TIGR00260	thrC	threonine synthase	equivalog	4.2.3.1
TIGR00261	traB	TraB family protein	subfamily	
TIGR00262	trpA	tryptophan synthase, alpha subunit	equivalog	4.2.1.20
TIGR00263	trpB	tryptophan synthase, beta subunit	equivalog	4.2.1.20
TIGR00264	TIGR00264	alpha-NAC homolog	hypoth_equivalog	
TIGR00266	TIGR00266	TIGR00266 family protein	hypoth_equivalog	
TIGR00267	TIGR00267	TIGR00267 family protein	hypoth_equivalog	
TIGR00268	TIGR00268	TIGR00268 family protein	hypoth_equivalog	
TIGR00269	TIGR00269	TIGR00269 family protein	hypoth_equivalog	
TIGR00270	TIGR00270	TIGR00270 family protein	hypoth_equivalog	
TIGR00271	TIGR00271	uncharacterized hydrophobic domain	domain	
TIGR00272	DPH2	diphthamide biosynthesis protein 2	equivalog	
TIGR00273	TIGR00273	iron-sulfur cluster-binding protein	equivalog	
TIGR00274	TIGR00274	N-acetylmuramic acid 6-phosphate etherase	equivalog	4.2.1.126
TIGR00275	TIGR00275	flavoprotein, HI0933 family	subfamily	
TIGR00276	TIGR00276	epoxyqueuosine reductase	equivalog	1.-.-.-
TIGR00277	HDIG	HDIG domain	domain	
TIGR00278	TIGR00278	putative membrane protein insertion efficiency factor	equivalog	
TIGR00279	uL16_euk_arch	ribosomal protein uL16	equivalog	
TIGR00280	eL43_euk_arch	ribosomal protein eL43	equivalog	
TIGR00281	TIGR00281	segregation and condensation protein B	equivalog	
TIGR00282	TIGR00282	metallophosphoesterase, MG_246/BB_0505 family	hypoth_equivalog	
TIGR00283	arch_pth2	peptidyl-tRNA hydrolase	equivalog	3.1.1.29
TIGR00284	TIGR00284	dihydropteroate synthase-related protein	hypoth_equivalog	
TIGR00285	TIGR00285	DNA-binding protein Alba	equivalog	
TIGR00286	TIGR00286	arginine decarboxylase, pyruvoyl-dependent	equivalog	4.1.1.19
TIGR00287	cas1	CRISPR-associated endonuclease Cas1	equivalog	3.1.-.-
TIGR00288	TIGR00288	TIGR00288 family protein	hypoth_equivalog	
TIGR00289	TIGR00289	TIGR00289 family protein	hypoth_equivalog	
TIGR00290	MJ0570_dom	MJ0570-related uncharacterized domain	domain	
TIGR00291	RNA_SBDS	rRNA metabolism protein, SBDS family	equivalog	
TIGR00292	TIGR00292	thiazole biosynthesis enzyme	equivalog	
TIGR00293	TIGR00293	prefoldin, alpha subunit	equivalog	
TIGR00294	TIGR00294	GTP cyclohydrolase	hypoth_equivalog	3.5.4.-
TIGR00295	TIGR00295	TIGR00295 family protein	hypoth_equivalog	
TIGR00296	TIGR00296	uncharacterized protein, PH0010 family	hypoth_equivalog	
TIGR00297	TIGR00297	TIGR00297 family protein	hypoth_equivalog	
TIGR00298	TIGR00298	2-phosphosulfolactate phosphatase	equivalog	3.1.3.71
TIGR00299	TIGR00299	TIGR00299 family protein	hypoth_equivalog	
TIGR00300	TIGR00300	TIGR00300 family protein	hypoth_equivalog	
TIGR00302	TIGR00302	phosphoribosylformylglycinamidine synthase, purS protein	equivalog	
TIGR00303	TIGR00303	TIGR00303 family protein	hypoth_equivalog	
TIGR00304	TIGR00304	TIGR00304 family protein	hypoth_equivalog	
TIGR00305	TIGR00305	putative toxin-antitoxin system toxin component, PIN family	equivalog	
TIGR00306	apgM	phosphoglycerate mutase (2,3-diphosphoglycerate-independent), archaeal form	subfamily	5.4.2.12
TIGR00307	eS8	ribosomal protein eS8	equivalog	
TIGR00308	TRM1	N2,N2-dimethylguanosine tRNA methyltransferase	equivalog	2.1.1.-
TIGR00309	V_ATPase_subD	V-type ATPase, D subunit	subfamily	3.6.3.14
TIGR00310	ZPR1_znf	ZPR1 zinc finger domain	domain	
TIGR00311	aIF-2beta	putative translation initiation factor aIF-2, beta subunit	hypoth_equivalog	
TIGR00312	cbiD	cobalamin biosynthesis protein CbiD	equivalog	
TIGR00313	cobQ	cobyric acid synthase CobQ	equivalog	6.3.5.10
TIGR00314	cdhA	CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit	equivalog	1.2.99.2
TIGR00315	cdhB	CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit	equivalog	1.2.99.2
TIGR00316	cdhC	CO dehydrogenase/CO-methylating acetyl-CoA synthase complex, beta subunit	equivalog	1.2.99.2 2.3.1.169
TIGR00317	cobS	cobalamin 5'-phosphate synthase	equivalog	2.7.8.26
TIGR00318	cyaB	putative adenylyl cyclase CyaB	hypoth_equivalog	
TIGR00319	desulf_FeS4	desulfoferrodoxin FeS4 iron-binding domain	domain	
TIGR00320	dfx_rbo	desulfoferrodoxin	equivalog	
TIGR00321	dhys	deoxyhypusine synthase	equivalog	2.5.1.46
TIGR00322	diphth2_R	diphthamide biosynthesis enzyme Dph1/Dph2 domain	domain	
TIGR00323	eIF-6	putative translation initiation factor eIF-6	hypoth_equivalog	
TIGR00324	endA	tRNA-intron lyase	equivalog	4.6.1.16
TIGR00325	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	equivalog	3.5.1.-
TIGR00326	eubact_ribD	riboflavin biosynthesis protein RibD	equivalog	3.5.4.26 1.1.1.193
TIGR00327	secE_euk_arch	protein translocase SEC61 complex gamma subunit, archaeal and eukaryotic	equivalog	
TIGR00328	flhB	flagellar biosynthetic protein FlhB	equivalog	
TIGR00329	gcp_kae1	metallohydrolase, glycoprotease/Kae1 family	subfamily	
TIGR00330	glpX	fructose-1,6-bisphosphatase, class II	equivalog	3.1.3.11
TIGR00331	hrcA	heat-inducible transcription repressor HrcA	equivalog	
TIGR00332	neela_ferrous	desulfoferrodoxin ferrous iron-binding domain	domain	
TIGR00333	nrdI	nrdI protein	equivalog	
TIGR00334	5S_RNA_mat_M5	ribonuclease M5	equivalog	3.1.26.8
TIGR00335	primase_sml	putative DNA primase, eukaryotic-type, small subunit	equivalog	
TIGR00336	pyrE	orotate phosphoribosyltransferase	equivalog_domain	2.4.2.10
TIGR00337	PyrG	CTP synthase	equivalog	6.3.4.2
TIGR00338	serB	phosphoserine phosphatase SerB	equivalog	3.1.3.3
TIGR00339	sopT	sulfate adenylyltransferase	equivalog_domain	2.7.7.4
TIGR00340	zpr1_rel	zinc finger protein ZPR1 homolog	hypoth_equivalog	
TIGR00341	TIGR00341	TIGR00341 family protein	hypoth_equivalog	
TIGR00342	TIGR00342	tRNA sulfurtransferase ThiI	equivalog_domain	2.8.1.4
TIGR00343	TIGR00343	pyridoxal 5'-phosphate synthase, synthase subunit Pdx1	equivalog	
TIGR00344	alaS	alanine--tRNA ligase	equivalog	6.1.1.7
TIGR00345	GET3_arsA_TRC40	transport-energizing ATPase, TRC40/GET3/ArsA family	subfamily	3.6.1.-
TIGR00346	azlC	azaleucine resistance protein AzlC	equivalog	
TIGR00347	bioD	dethiobiotin synthase	equivalog	6.3.3.3
TIGR00348	hsdR	type I site-specific deoxyribonuclease, HsdR family	subfamily	3.1.21.3
TIGR00350	lytR_cpsA_psr	cell envelope-related function transcriptional attenuator common domain	domain	
TIGR00351	narI	respiratory nitrate reductase, gamma subunit	equivalog	1.7.99.4
TIGR00353	nrfE	cytochrome c-type biogenesis protein CcmF	equivalog	
TIGR00354	polC	DNA polymerase II, large subunit DP2	equivalog	2.7.7.7
TIGR00355	purH	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	equivalog	2.1.2.3 3.5.4.10
TIGR00357	TIGR00357	methionine-R-sulfoxide reductase	equivalog_domain	1.8.4.-
